Patología,Medicamentos,Observaciones,Acciones
Enfermedad Celiaca - Gluten,"Dieta libre de Gluten, Sin: Trigo, avena, cebada, centeno. (i) Control con clínica y niveles de Anticuerpos (ATGT-AE) Endoscopia Digestiva Alta (EDA) + Biopsia y Anticuerpos. Perfil Hematológico y Calcemia.","% Alergia al Gluten. Dolor abdominal, Diarrea crónica, Meteorismo, Malabsorción, Bajo apetito, Hipocalcemia, Anemia Ferropénica. Dg: Anticuerpos (anti-Transglutaminasa, anti-Endomisio) + Endoscopia digestiva alta (EDA) y Biopsia, IgA. (i) Control con clínica y niveles de Anticuerpos (Anti TGT-AE), al año se negativizan si cumple tratamiento. (i) Duodeno absorbe Calcio y Fierro. (i) Biopsia: Atrofia vellosidades intestinales, infiltrado linfocitario, aumento de las criptas. (i) IgA: Déficit de inmunoglobulina A.",
Enfermedad de Alzheimer,"(*) Memantina 10-20 mg. DI: 5 mg al día aumentando semanalmente en 1 mes, hasta 10 mg cada 12 hrs de mantención. DMx: 20 mg dia. (ac) Donepezilo 5-10 mg. DI: 5 mg al dia, en la noche, antes de acostarse. DMx: 10 mg dia en la noche. Rivastigmina 1,5-3-4,5-6 mg. DI: 1.5 mg cada 12 hrs. (junto a comida). DMx: 6 mg c 12 hrs. Rivastigmina parche 9 - 18 mg. Uso: 1 parche al día. NC: Exelon.","(i) 1a causa de demencia. Inhibidores de la colinesterasa (Ac.COA) (i) Parche: sobre piel intacta, sana, limpia, seca y sin pelo en la zona alta o baja de la espalda, parte superior del brazo o pecho o zona donde no roce con ropa. No aplicar sobre muslo, abdomen ni piel enrojecida, irritada o con cortes. Evitar repetir la misma zona al menos durante 14 días.",
Enfermedad de Bowen,"(*) Crioterapia + Biopsia, por Especialista: Dermatólogo o Cirujano. (ac) Imiquimod 5% tópico. Uso: cada 12 hrs, previo lavado. 5-fluorouracilo.","% Sol. Tumor de piel pre maligno. Placa hiperqueratósica, eritematosa, roja, Crece lento, Áspera. Lesión más grande que queratosis actínica, en zonas expuestas al sol, manos, brazos, orejas y cuero cabelludo. (i) Riesgo de Cáncer Espinocelular.",
Enfermedad de Crohn (EII),"(*) Sulfasalazina 500 mg comprimido. DI: 1-2 comprimidos c/12 hrs. Postprandial. DMx: 2 gr c 8 hrs.  NC: Azulfidine (*) Paracetamol 500 mg comprimidos.   DI: 1-2 comprimidos cada 8 hrs. (*) Prednisona 5-20 mg comprimidos.  DI: 5 mg diarios. (*) Azatioprina 50 mg. DI: 2 mg/kg/dia. Dividia en 3 tomas. Metotrexato 2.5 mg. DI: 2.5 mg 1 vez a la semana. DMax: 7.5 mg semanal. Ciclosporina Terapia biologica: Infliximab, Adalimumab Metronidazol 500 mg EV + Ceftriaxona 1 gr EV. Qx: Resección de Segmentos afectados, si falla tratamiento médico o hay complicaciones. Interconsulta con Gastroenterología, Nutricionista.","% Autoinmune jovenes - EII. Lesiones en parche que afecta a Todo el tubo digestivo. Dg: Colonoscopia + Anticuerpos: ASCA (+) Biopsia: Lesión Transmural. Malabsorción, úlceras orales, masa abdominal, absceso perianal, pujo, tenesmo, y diarrea disentérica (Mucus y sangre) (*) Complicaciones: Fístula, perforación, Obstrucción intestinal.",
Enfermedad de Meniere,"(*) Resonancia nuclear magnética de cerebro - RNM. Examen del VIII 8vo par craneal: Audiometría, Prueba calórica, Prueba de provocación. Difenidol 25 mg. DI: 25 mg cada 4 hrs VO. DMx: 300 mg dia VO. NC: Moviplus, Vertium, Meridian. Cinirazina 75 mg. DI: 75 mg cada 12 hrs VO. NC: Stugeron, Siridone, Cinergil. Cinarizina 25 mg. DI: 25 mg cada 8 hrs VO. Betahistina 8-16-24 mg. DI: 8-16 mg cada 8-12 hrs VO. NC: Microser, Betaserc.",% Hidrops de Endolinfa. Clínica fluctuante de: Vertigo + Hipoacusia + Tinitus o acuefanos. (i) RNM: Todo Meniere es neurinoma del acústico hasta que no se demuestre. Difenidol: Antivertiginoso y antiemético.,
Enfermedad de Parkinson,"Multidisciplinario, Especialista Neurología. (*) Levodopa/Carbidopa 250/25mg. DI: 1 comp cada 12 hrs VO. DMx: 8 al dia VO. NC: Grifoparkin, Levofamil, Saniter. Levodopa/Benserazida 200/50 mg. DI: 1 comp cada 8-12 hrs VO. DMx: 8 al dia VO. NC: Prolopa, Madozide. (ac) Memantina 10-20 mg. DI: 5 mg al día aumentando semanalmente en 1 mes, hasta 10 mg cada 12 hrs de mantención. DMx: 20 mg dia.","Dg: Clinico: Temblor de reposo asimétrico, rigidez y bradiquinesia (movimientos lentos, dificultad al girar). Desaparecen movimientos no voluntarios: Pestañeo, braceo al caminar, hipomimia ""poker face"". Se complica con demencia por cuerpos de Levy. (i) Temblor disminuye al tomar objeto o adoptar posición, se puede hacer bilateral con el tiempo. (i) Rigidez en rueda dentada o en tiempos. (i) Levodopa/carbidopa: aparición de movimientos anormales, signos de sobredosis, indicaría haber sobrepasado la dosis suficientemente eficaz. Esta CI: Arritmias cardíacas, bloqueo A.V., hipotensión ortostática. Glaucoma de ángulo cerrado. (i) Memantina en demencia.",
Enfermedad Inflamatoria Intestinal (EII),"Colonoscopia previa preparación + Biopsia. Pedir: Anticuerpos ASCA, ANCA. TAC de abdomen y pelvis en sospecha de complicaciones. + Derivar a Gastroenterología - Medicina Interna.","% Autoinmune (jóvenes): Enfermedad de Crohn, Colitis Ulcerosa. Diarrea Crónica, dolor abdominal cólico, baja de peso, fiebre, diarrea disentérica (sangre y mucus). Manifestaciones extraintestinales: Artritis periférica, Espondilitis, Uveítis, Eritema nodoso, Pioderma gangrenoso.",
Enfermedad pulmonar obstructiva cronica - EPOC descompensado o exacerbado,"(*) Oxígeno para Sat >93%, al 24% por mascarilla o 1 Lt/min por Naricera (*) Salbutamol 0.5% NBZ. DI: 1 cc SBT + 3cc SF por 20 min, 3 veces y reevaluar. (*) Dexametasona 8mg/2ml DI: 4 mg EV-IM c 6 hrs. (ac) Hidrocortisona 100 mg. DI: 100 mg EV c/4 h. Dmx: 500mg EV. (*) Ceftriaxona 1gr EV. DI: 1-2 gr EV c 12 hrs por 7-10 días. Cefotaxima 1 gr EV.  DI: 1 gr cada 8 hrs EV por 7-10 días. Levofloxacino 500mg-1gr EV DI: 500 mg/día EV Moxifloxacino 400 mg EV DI: 400 mg/día EV Evaluar VM - TOT + Hospitalizar UTI con monitoreo continuo ECG, PA, SatO2. + Reposo relativo - absoluto. Régimen blando, liviano. + Oxigenoterapia para Sat > 88% + Amoxicilina/Acido clavulanico 1,2 gr VO cada 8 hrs por 7 días. + Ceftriaxona 1 gr cada 12 hrs EV + Levofloxacino 500 mg día EV por 7 dias. + Salmeterol/Fluticasona 2 puff cada 12 hrs con AEC. + Salbutamol o Ipratropio 1 cc + 3 cc SF cada 6 hrs por NBZ. + Tromboprofilaxis segun PADUA/IMPROVE + Control de signos vitales cada 6 hrs + Kinesioterapia Respiratoria. + Control de parámetro inflamatorio cada 48 hrs.","% NAC, dar Antibiótico empírico. Pedir: Hemograma, PCR, Cultivo de expectoración, Rx de Tórax, ECG. (i) Corticoide sistémico SI aumenta sobrevida, en caso de Descompensado. (i) Cuidado con cantidad de O2: Riesgo de Encefalopatía hipercarbica. Ventilación mecánica invasiva; PaC02 > 60 (insuficiencia respiratoria): Si no tolera o tiene Encefalopatia Hipercarbica usar VMI.",
Enfermedad pulmonar obstructiva cronica - EPOC estable,"(*) Salbutamol 100 mcg. DI: 1-2 puff SOS con AEC. NC: Sinasmal. (*) Ipratropio 20 mcg. DI: 1-2 puff SOS con AEC. NC: Atrovent. Aerotrop. Salmeterol 25 mcg. DI: 1 puff c 12 hrs. NC: Bromex. Brexotide. Seretide. Formoterol 4.5-9 mcg. DI: 1 puff c 12 hrs. Bronlival - Neumocort plus - Symbicort. Tiotropio 2.5-18 mcg. DI: 1 puff c 12 hrs. NC: Tiosynt. Spiriva. (ac) Budesonida 200 mcg. DI: 1 puff c 12 hrs con AEC. NC: Budasmal (ac) Fluticasona 125-250 mcg. DI: 1 puff c 12 hrs con AEC. NC: Flixotide. Flusona. Fluticort. Oxigeno domiciliario O2, solo si corresponde. + Pedir Rx Tórax AP-Lat, Espirometría, evaluar Severidad VEF1. + Indicar Vacunación (Influenza-Neumococo). + Dejar el tabaco. + Oxigeno domiciliario, si corresponde: HTP, Cor pulmonar, Poliglobulia.","Dg: Clinico + Espirometría (VEF1/CVF < 70% que no mejora a SBT). Severidad: VEF1: Leve > 80%, Moderado 50-80%, Severo 30-50%, Muy severo < 30% (i) Ipratropio o Tiotropia: En Cardiópata o Taquicardia por SBT. (i) Aumenta sobrevida: Dejar tabaco, Oxígeno domiciliario, vacunas. Corticoide no aumenta sobrevida. (i) Oxigeno domiciliario: Pa02 < 55% (insuficiencia Respiratoria) o, Pa02 <60% + Hipertensión Pulmonar, Cor pulmonar o Poliglobulia (Hto > 50%)",
"Enfermedades de notificación obligatoria, diarias - ENO",Brucelosis Cisticercosis Coqueluche (Tos Ferina) Enfermedad de Chagas crónico Enfermedad de Creutzfeldt-Jakob (ECJ) Fiebre Q Fiebre Tifoidea y Paratifoidea Gonorrea Hepatitis A Hepatitis B Hepatitis C Hepatitis E Hidatidosis (Equinococosis) Leishmaniasis Lepra Listeriosis Neumococo Parotiditis Psitacosis Sífilis Síndrome de Inmunodeficiencia Adquirida (VIH/SIDA) Tétanos Tétanos Neonatal Tuberculosis en todas sus formas y localizaciones - TBC,Enfermedades donde la notificación se debe realizar frente a la confirmación de un caso. Link: Epivigila.minsal.cl,
"Enfermedades de notificación obligatoria, Inmediatas - ENO","Arbovirus (dengue, zika, chikungunya, fiebre amarilla) Botulismo Botulismo infantil Brotes ETA (Enfermedad Transmitida por Alimentos) Carbunco Cólera Coronavirus (COVID-19) Difteria Enfermedad de Chagas agudo Fiebre del Nilo Occidental Fiebres hemorrágicas Intoxicaciones agudas por plaguicidas Leptospirosis Malaria Meningitis Bacteriana, Enf.Meningocócica y Enf.Invasora por Haemophilius Influenzae Peste Poliomielitis (Parálisis Flácidas Agudas) Rabia Humana Rubéola Sarampión Síndrome Pulmonar por Hantavirus Triquinosis",Inmediatas: Enfermedades donde la notificación se debe realizar frente a la sospecha de un caso. Link: Epivigila.minsal.cl,
Epidermolisis Bulosa - Niños piel de cristal,Manejo por especialista Dermatologia y Cirugia para manejo de complicaciones.,"% Genetica, niños. Cuadro crónico de Ampollas o bulas generalizadas y recurrentes, duras y tensas. Genera deformaciones en piel. Nikolsky (-).",
Epiglotitis Bacteriana,"(*) Ceftriaxona 1gr EV.  DI: 1-2gr EV c 12 hrs. (niños <12 a= adulto) DP: 50mg/kg/dosis c 12 hrs.  Dmx 2 gr/d. (*) Adrenalina racemica.  DP: 0,05ml/kg en NBZ por 10-15 min a 4-6 Lt/min. Dmx: 3 veces. (*) Dexametasona 8mg/2ml.   DP: 0,15-0,60 mg/kg/dosis VO-EV-IM","% Hib (Hemofilus influenzae tipo B) enfermedad de notificacion obligatoria (ENO) P. Tripode, Toxico. Rx lateral de cuello en punta de lapiz.",
Epilepsia - Crisis generalizadas - Sincope Neurogénico,"Electroencefalograma IC a Neurología Acido Valproico 125-250-500 mg. DI: 10 a 15 mg/kg/día VO, incrementar en 5 a 10 mg/kg/semana según respuesta. DMx: 60 mg/kg/día. Acido Valproico 250mg/5ml jarabe. DP:10 a 15 mg/kg/día VO. incrementar en 5 a 10 mg/kg/semana según respuesta. Acido Valproico 100mg/ml ampolla. DI: 20 mg/min en 1 hra BIC. Lamotrigina 25-50-100 mg. DI: 25 mg dia VO, incrementando a 50 mg en 2 semanas. Mantenimiento: 100-200 mg dia VO. DP: : 0.15 mg/kg/dia VO, incrementando lentamente a 1-5 mg/kg/día en 1-2 tomas. DMx: 200 mg dia. Fenitoina 100 mg. DI: 100-300 mg cada 12-24 hrs VO. DP: 4-8 mg/kg/día c12-24 horas. Fenitoina 250 mg/5ml. DI: 18/kg/en 24 hrs EV a 50 mg/min. De mantenimiento dosis 5-7mg/kg/c 6- 8 hrs EV.","% Primarias: Genéticas (antecedente familiar). Dg: Clínico (2 crisis convulsivas generalizadas, estereotipadas o similares). EEG alterado + 1 crisis convulsiva (primo convulsión). Tipos: Tónico - clónico, Tónico, Atónico (sincope asociado a perdida de esfínter uretral y anal), Mioclónicas (en sueño), Ausencia. (i) Dar Monoterapia, no agregar. Mejor reemplazar y/o ajustando según niveles plasmáticos.",
Eritema indurado de Bazin,Rifampicina 300mg. 1 Fase: 600mg /2 Fase: 600mg Isoniazida 100mg. 1 Fase: 300mg / 2 Fase: 600mg Pirazinamida 500mg. 1 Fase: 1500mg. Etambutol 400mg. 1 Fase 800mg.,"% Mycobacterium Tuberculosis (2rio a Tuberculosis) Clínica: Nódulos y/o Placas eritematosas rojas y dolorosas al tacto. En piernas (posterior-Lateral) y úlceras. (i) Pedir: Baciloscopias de expectoración 3-4 BK. Rx tórax y Cultivo de Koch. 1° Fase diaria Lu-Vi (2 meses, 50 dosis de RIPE) 2° Fase trisemanal (4 meses, 48 dosis de RI). (i) Suspender tto en caso de Hepatitis u otro RAM y derivar a especialista, 2da linea solo Especialista.",
Eritema Nodoso,(*) Prednisona 5-20 mg. DI: 1 comp diario VO + Buscar causa y tratar. + Pedir: Baciloscopia (BK) para descartar TBC.,"% Autoinmune: Post infecciosa (estreptocócicas). Otras: TBC - Sarcoidosis - EII (Crohn, Colitis ulcerosa) - Espondilitis anquilosante. Dg: Nódulos eritematosos (rojos) y Dolorosos al tacto, en Piernas cara interna y anterior.",
Eritema Pernio - Perniosis - Sabañones,"(*) MG: Crema de Humectación, Evitar el frío, Abrigar manos, pies y orejas. Betametasona 0,05% tópico.  Uso: cada 12 hrs. Clobetasol 0,05% tópico.  Uso: cada 12 hrs.","% Quemadura por frío en zonas de exposición. (Dedos, orejas, ortejos). Lesiones maculares simétricas y bilateral, Eritema periungueal eritema, prurito, Ardor, descamación, dolor.",
Eritema toxico,MG: Observar y tranquilizar a madre.,"% Glándulas sudoríparas. Recién nacido asintomático, con máculas de fondo eritematoso (rojo), luego vesículas y pústulas. Afecta todo el cuerpo, respeta palmas y plantas. (i) Aparece entre 2-5 to día de vida.",
Eritoplaquia – Eritroplasia - Lesión premaligna de lengua,IC a Cirugía - IC a Otorrinolaringólogo ORL Qx: Biopsia. Qx: Crioterapia o Resección por especialista.,"Placa roja en mucosa de lento crecimiento. (i) Mayor riesgo de evolucionar a cancer espinocelular. (i) Factor de riesgo: Tabaco, VIH (+), VPH virus papiloma humano.",
Erosion Corneal - Cuerpo extraño ocular,"Cloranfenicol CAF 1% ungüento oftalmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. Ciprofloxacino 0.3 % solución oftalmica. Uso: 1-2 gotas cada 2-4 horas en el dia por 7-10 dias. NC: Ciproval Ciprofloxacino 3.5 gr unguento oftalmico. Uso: 1 a 1.5 cm en las noches por 7-10 días. NC: Cirpodex (Ciprof/Dexa) Tobramicina 0.3 % solución oftalmica. Uso: 1-2 gotas cada 2-4 horas en el día por 7-10 días. NC: Xolof, Tobradex Extraer cuerpo extraño, revisar parpado superior. Parche ocular por 48 hrs.","Clínica de Queratitis, con Antecedente de Trauma ocular o Cuerpo extraño ocular (parpado superior) (i) Pedir: Tinción con Fluoresceína.",
Erradicacion de Heliobacter Pylori  - 1ª linea.,"Omeprazol 20 mg. DI: 1 comprimido cada 12 horas por 14 días. Claritromicina 500 mg, DI: 1 comprimido cada 12 horas por 14 días. Amoxicilina 500 mg. DI: 2 comprimidos cada 12 hrs por 14 días. (i) Alergia a PNC: Metronidazol 500 mg. DI: 1 comprimido cada 12 hrs por 14 días. MG: Evitar Tabaco, AINEs, Manejo de estrés y ansiedad, H. Pylori.","(i) Siempre en: Úlcera Duodenal, MALT. Displasia, Cáncer gástrico, Gastritis erosiva, Dispepsia, antecedente familiar de cáncer gástrico, y uso de AINEs crónico. (i) Control post tratamiento: antígeno en deposiciones de H.Pylori. En caso de falla al tratamiento, pasar a 2ª linea.",
Erradicacion de Heliobacter Pylori  - 2ª linea.,Omeprazol 20 mg. DI: 1 comprimido cada 12 horas por 10-14 días. Metronidazol 500 mg. DI: 1 comprimido cada 8 hrs por 10-14 días. Tetraciclina 500 mg.  DI: 1 comprimido cada 6 hrs por 10-14 días. Bismuto 240 mg. cada 12 hrs por 10-14 días. (ac) Doxiciclina 100 mg.  DI: 1 comprimido cada 12 horas por 10 - 14 días. (ac) Amoxicilina 500 mg. DI: 2 comprimidos cada 12 horas por 10- 14 días.,(i) Control post tratamiento: antígeno en deposiciones de H.Pylori. En caso de mantener test ureasa (+): Derivar a Gastroenterología.,
Escabiosis - Sarna,"MG: Lavado, planchado de ropas, sábanas y toallas. Guardar ropa por 2 semanas. (*) Ivermectina 0.6% gotas DI: 1 gota/kg por 1 vez, luego repetir a la semana. (*) Permetrina 5% loción.  Uso: por 3 días, descansar 4 y repetir 3 días más. (ac) Vaselina azufrada en embarazadas o menores de 3 meses. (ac) Cetirizina 10 mg.  DI: 10 mg al día en la mañana en caso de prurito Desloratadina 5 mg.  DI: 5 mg al dia en caso de prurito. Loratadina 10 mg.  DI: 10 mg cada 12 hrs  en caso de prurito Clorfenamina 4 mg.  DI: 4 mg cada 8 horas, en caso de prurito.","% Sarcoptes Scabiei Dg: Pedir: Acaro Test Tratamiento Dual (Oral y topico) Clínica: Prurito intenso generalizado, mayor en abdomen y genitales. Vesículas perladas y surcos acarinos es patognomónico. Tratar a la familia completa, cuidado de embarazadas y menores de 3 meses.",
Escabiosis - Sarna (Embarazada/Lactancia o < 3 meses),"MG: Lavado, planchado de ropas, sábanas y toallas. Guardar ropa por 2 semanas. (*) Vaselina azufrada 6% Aplicar por 3 noches seguidas, descansar 4 días y volver a aplicar por 3 noches. (Prep Magistral) (ac) Permetrina 5% loción por 3 días, descansar 4 y repetir 3 días más.  (Prep Magistral) (ac) Cetirizina 10 mg. DI: 10 mg al día en la mañana en caso de prurito Desloratadina 5 mg. DI: 5 mg al dia en caso de prurito. Loratadina 10 mg. DI: 10 mg cada 12 hrs en caso de prurito Clorfenamina 4 mg. DI: 4 mg cada 8 horas, en caso de prurito.","% Sarcoptes Scabiei Dg: Acaro Test. (i) si no responde usar Permetrina 5% como 2da linea. Tratar a toda la familia, lavar y planchar ropa, sabanas, toallas.",
Escala de Centor - Score Amigdalitis,Edad 3- 14 años: 1 pto. Edad 15-45 años: 0 pto. Edad mas 45 años: - 1 pto. Exudado amigdalino purulento: 1 pto Adenopatías inflamadas cervicales y/o dolorosas: 1 pto. Fiebre mayor o igual a 38°C: 1 pto. Ausencia de tos: 1 pto.,"(i) Evalúa riesgo de infección por bacteria - SGA:SBHGA. 0 - 1 puntos: bajo riesgo 1-10%, manejo sintomático. 2 - 3 puntos: medio riesgo 10-35%, pedir cultivo faríngeo, hemograma. 4 - 5 puntos: Alto riesgo:  Iniciar manejo ATB VO. Cultivo faríngeo ante duda.",
Escala de GLASGOW - No intubados GCS,Respuesta Verbal: Orientada 5 / Confusa 4 / Inapropiada 3 / Incomprensible 2 / NR 1 Apertura Ocular: Espontánea 4 / Órdenes 3 / Dolor 2 / NR 1. Respuesta Motora: Obedece orden 6 / Localiza dolor 5 / Retira al dolor 4 / Decorticación: flexión 3 / Descerebración: Extensión 2 / NR 1.,"Score de coma de Glasgow en pacientes no intubados, útil en TEC, ACV, Politraumatismo, Pancreatitis aguda (Apache II). V4-O5-M6: (3 / 15 puntos) (i) < 8 Criterio de Intubación. CALCULADORA: https://www.rccc.eu/ppc/indicadores/Neuro/GCS.html",
Escleritis - Epiescleritis,(*) Prednisona 5-20 mg. DI: 1 comp diario VO. (*) Azatioprina 50 mg. DI: 2 mg/kg/dia. Dividía en 3 tomas. (ac) Metotrexato 2.5 mg. DI: 2.5 mg 1 vez a la semana. DMax: 7.5 mg semanal. Qx: en caso de herniación esclera.,"Dilatación vasos sanguíneos, Ojo rojo profundo-superficial, periférico. Dolor ocular y Adelgazamiento de esclera. Riesgo de Herniación vítrea. % Artritis reumatoide. (AR) mal pronostico.",
Esclerodermia - Esclerosis Sistémica Limitada (CREST),No hay tratamiento conocido. Manejo de complicaciones y síntomas.,"% Autoinmune. Disfagia Ilógica y Pirosis intensa (RGE). Calcinosis, Raynaud, Esofágica disfunción, Esclerodactilia, Telangiectasias. Anticuerpos: Anti-Scl-70. A la Inmunofluorescencia: Anti Nucleolo, Anticuerpo: Anticentrómero (+). Complicación más grave: Hipertensión pulmonar.",
Esclerosis lateral amiotrófica - ELA,"Soporte respiratorio, ventilación y alimentación. IC Rehabilitación integral, Neuralgia, Kinesiología, Nutricionista, Paliativos.","% Enfermedad degenerativa del asta anterior de medula espinal. Clínica: compromiso motor progresivo hipertonía, hiperreflexia, atrofia y fasciculaciones musculares. Mal pronostico de vida 3-5 años desde Dg.",
Esclerosis Multiple - EM - GES,"RNM - Resonancia nuclear magnética de cráneo y medula, Anual de seguimiento. Punción lumbar: Citoqumico y banda oligoclonales. IC a Neurología, Fisiatría, Nutricionista, Kinesiologia, Psicologia. Notificación GES (*) Metilprednisolona 500 mg EV. DI: 1gr al dia por 5 dias EV/VO. DMx: 2 gr dia EV. (ac) Plasmaferesis, total de 7 intercambios en 14 dias. Interferon beta 1b. DI: 160 - 250 ug dia alternos. Interferon beta 1a. DI: 22-44 ug, 3 veces por semana. Amantadina 100 mg. DI: 100-200 al dia VO. (en caso de fatiga moderada) Acetato de Glatiramer, Azatioprina, Mitoxantrona, Inmunoglobulina EV. (por especialista)","% Autoinmune, peak a los 24 años. Desmielinizacion del SNC, afecta a sustancia blanca, cerebro, troncoencefalo, medula, cerebelo y nervio optico con Neuritis optica. Clinica: episodios recurrentes y remitentes, con signos focales subagudos y progresivos en dias. Criterios de McDonald: Crisis y lesiones del SNC en espacio y tiempo. Dg: RNM cráneo y medula total es elección. PL: aumento de banda oligoclonal de inmunoglobulina. (i) En crisis o brote agudo (CIS) Corticoide EV frena y revierte desmielinizacion. Factor de riesgo: Tabaquismo.",
Esofago de Barret - Metaplasia intestinal,"Pedir Endoscopia digestiva alta + Biopsia. - Tratamiento segun biopsia: (*) IBP ajustada segun ph-metria y EDA de seguimiento, en metaplasia. Omeprazol 20 mg.  DI:1 comp al dia 30 min antes de comer. Lansoprazol 30 mg. DI: 1 comp al dia. (**) Qx esofágica en caso de Displasia o Atipias.","% Reflujo gastroesofágico. Dg: Endoscopia digestiva alta (EDA) + Biopsia: Metaplasia(*), Displasia o Atipias (**) Riesgo: Cancer de Esofago.",
